metin,kelimeler,departman
"Kahramanmaraş'ta çöp toplama sık sık aksıyor,mahallemiz kokudan geçilmiyor.","['çöp toplama','koku']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Yol yapım çalışmaları çok yavaş ilerliyor,tozdan geçilmiyor.","['yol yapım','toz']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Parklarda yeterli bakım yapılmıyor.","['park bakımı']","Park ve Bahçeler Müdürlüğü"

"Ulaşım araçları çok kalabalık,otobüs duraklarında uzun süre bekliyoruz.","['ulaşım']","Ulaşım Dairesi Başkanlığı"

"Kışın kar temizleme çalışmaları yetersiz,yollar çok geç açılıyor.","['kar temizleme','yol']","Yol Yapım Bakım ve Onarım Dairesi Başkanlığı"

"Belediye parklarında güvenlik sorunu var,huzursuz hissediyoruz.","['park güvenliği']","Park ve Bahçeler Müdürlüğü"

"Belediye otobüslerinin sefer saatleri düzenli değil.","['otobüs seferleri']","Ulaşım Dairesi Başkanlığı"

"Çevre temizliği konusunda yetersiz kalınıyor,özellikle piknik alanları çok kirli.","['çevre temizliği']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kahramanmaraş'ta yeşil alanlar yetersiz.","['yeşil alan']","Park ve Bahçeler Müdürlüğü"

"Belediye web sitesi kullanışlı değil,bilgiye ulaşmak zor.","['web sitesi kullanımı']","Bilgi İşlem Dairesi Başkanlığı"

"Kahramanmaraş'ta kültürel etkinlikler yetersiz.","['kültürel etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Son zamanlarda şehrin birçok noktasında çöp konteynerlerinin yetersiz olması ve çöplerin zamanında toplanmaması nedeniyle çevre kirliliği ciddi bir sorun haline geldi.Özellikle sıcak havalarda kötü kokular ve sinek istilası yaşanıyor.Belediyenin bu konuda daha sıkı önlemler alması gerekiyor.","['çöp toplama','çöp konteynerler']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Yaşadığım mahallede bulunan parkın bakımsız olması ve oyun gruplarının güvensiz olması nedeniyle çocuklarımızı rahatlıkla oynatamamaktayız.Parkın zemin döşemesi bozulmuş, oyun aletleri paslanmış ve kırılmış durumda. Belediyeden parkın yenilenmesini ve güvenli hale getirilmesini talep ediyoruz","['park yenilemesi']","Park ve Bahçeler Müdürlüğü"

"Kış aylarında şehir merkezinde yaşanan kar yağışları sonrası yolların uzun süre temizlenmemesinden dolayı ulaşımımız büyük ölçüde zorlaşıyor. Özellikle okullara giden çocuklarımızın güvenliği için yolların kar yağışından hemen sonra temizlenmesi gerekiyor.","['kar temizliği']","Yol Yapım Bakım Ve Onarım Dairesi Başkanlığı"

"Otopark sorunu büyüyor, araçlarımızı park edecek yer bulamıyoruz.","['otopark']","Ulaşım Dairesi Başkanlığı"

"Altyapı çalışmaları çok yavaş ilerliyor,yollar sürekli kazılıyor.","['altyapı çalışmaları']","Fen İşleri Dairesi Başkanlığı"

"Belediye etkinlikleri yetersiz,sosyal aktivitelerimiz kısıtlı.","['sosyal aktivite']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Geri dönüşüm hizmetleri yetersiz, atıklarımızı ayrıştırmakta zorlanıyoruz.","['geri dönüşüm']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Toplu taşıma araçları eski ve konforsuz, seyahat etmek zorlaşıyor.","['toplu taşıma araçları']","Ulaşım Dairesi Başkanlığı"

"Şehrimizde su baskınları sıkça yaşanıyor, altyapı yeterli değil.","['su baskınları']","Fen İşleri Dairesi Başkanlığı"

"Park yerlerinde ışıklandırma yetersiz bu yüzden geceleri güvensiz hissediyoruz.","['park yeri']","Park ve Bahçeler Müdürlüğü"

"Şehirde düzenli etkinlikler yapılmıyor, kültürel aktiviteler eksik.","['kültürel aktiviteler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Sokaklarda temizlik personeli eksik, çöpler birikiyor.","['temizlik personeli','çöp']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Okul çevresindeki trafik düzenlemesi eksik,çocukların güvenliği tehlikede.","['trafik düzenlemesi']","Ulaşım Dairesi Başkanlığı"

"Şehir merkezinde park yeri bulmak imkansız, otopark sorunu büyüyor.","['park yeri sorunu','otopark']","Ulaşım Dairesi Başkanlığı"

"Sokaklarda temizlik hizmetleri yetersiz, çöpler birikiyor.","['sokak temizliği','çöp']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Kışın kar temizleme işlemleri zamanında yapılmıyor, yollar kaygan ve tehlikeli.","['kar temizleme','yollar']","Fen İşleri Dairesi Başkanlığı"

"Çevre kirliliği sorununu çözmek için daha fazla geri dönüşüm kutusu ve bilgilendirme yapılmalı.","['çevre kirliliği','geri dönüşüm kutusu']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Belediyenin internet sitesi güncel değil, bilgiye erişim zorlaşıyor.","['internet sitesi','bilgi']","Bilgi İşlem Dairesi Başkanlığı"

"Parklardaki spor alanları ve yürüyüş parkurları bakımsız.","['park','yürüyüş parkurları']","Park ve Bahçeler Müdürlüğü"

"Çöp konteynerlerinin yetersizliği nedeniyle çöpler sokaklarda birikiyor.","['çöp','çöp konteynerleri']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Tıbbi atıkların düzenli toplanmaması sağlık risklerini artırıyor.","['tıbbi atıklar']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Toplu taşıma araçlarının sayısı artırılmalı, özellikle yoğun saatlerde kapasite yetersiz.","['toplu taşıma']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki sosyal etkinlikler ve festivallerin sıklığı artırılmalı, toplumsal etkinlikler az.","['sosyal etkinlikler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Geri dönüşüm kampanyaları yetersiz, halkın çevre bilinci düşük.","['geri dönüşüm']","Çevre Koruma ve Sıfır Atık Dairesi Başkanlığı"

"Bölgesel ulaşım projeleri yetersiz, şehirlerarası bağlantılar güçlükle sağlanıyor.","['bölgesel ulaşım','şehirlerarası']","Ulaşım Dairesi Başkanlığı"

"Belediye parklarında yapılan temizlik ve bakım işleri yetersiz,vatandaşlar bu konuda şikayetçi.","['bakım işleri','temizlik']","Park ve Bahçeler Müdürlüğü"

"Trafik düzenlemesi için yenilikçi çözümler uygulanmalı,trafik sıkışıklığı azaltılmalı.","['trafik düzenlemesi','trafik sıkışıklığı']","Ulaşım Dairesi Başkanlığı"

"Belediye tarafından düzenlenen kurslar ve seminerler daha fazla çeşitlendirilmelidir.","['kurslar','seminerler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Gençler için kültürel ve sosyal alanlar oluşturulmalı, gençlerin sosyal yaşantısı desteklenmeli.","['sosyal alanlar']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Belediyenin eğlence merkezleri ve aktiviteleri artırılmalı,halkın boş zamanlarını değerlendirmesi sağlanmalı.","['eğlence merkezleri','aktiviteler']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Şehirdeki yaya geçitleri daha güvenli hale getirilmeli, kazalar azaltılmalı.","['yaya geçitleri','kazalar']","Ulaşım Dairesi Başkanlığı"

"Şehirdeki kütüphaneler ve bilgi merkezleri daha fazla kaynak ve hizmet sunmalı.","['kütüphaneler','bilgi merkezleri']","Kültür Gençlik ve Spor Dairesi Başkanlığı"

"Toplu taşıma araçlarında hijyen standartları artırılmalı,temizliğe dikkat edilmeli.","['toplu taşıma araçları']","Ulaşım Dairesi Başkanlığı"

"Belediyenin e-imza sistemi üzerinden yapılan işlemlerde sürekli sorunlar yaşamaktayım.Bu durum işlerimde önemli gecikmelere neden olmakta ve beni mağdur etmektedir.Sistemin daha stabil hale getirilmesi ve e-imza işlemlerinin sorunsuz bir şekilde gerçekleştirilmesi için gerekli çalışmaların yapılması gerekmektedir.","['e-imza']","Bilgi İşlem Dairesi Başkanlığı"

"Belediyenizin mobil uygulamasını kullanmaktayım ancak uygulama sık sık çökmekte ve bildirimler gelmemektedir. Uygulamanın daha stabil hale getirilmesi ve bildirim sorunlarının çözülmesi için gerekli çalışmaların yapılması gerekmektedir.","['mobil uygulama']","Bilgi İşlem Dairesi Başkanlığı"

